2024;114.2
2023;111.6
2022;107.7
2021;102.5
2020;100.0
2019;99.5
2018;99.1
2017;97.6
2016;95.8
2015;94.9
2014;94.2
2013;93.0
2012;91.8
2011;89.9
2010;86.4
2009;83.9
2008;81.7
2007;78.0
2006;76.1
2005;74.4
2004;72.4
2003;69.9
2002;67.5
2001;65.7
2000;63.2
1999;61.8
1998;61.3
1997;57.0
1996;54.6
1995;52.0
1994;49.8
1993;46.8
1992;44.7
1991;42.1
1990;38.5
1989;35.4
1988;33.5
1987;31.3
1986;30.4
1985;29.6
1984;28.8
1983;28.2
1982;27.3
1981;25.4
1980;21.0
1979;16.3
1978;13.8
1977;12.0
1976;10.9
1975;9.5
1974;7.6
1973;6.1
1972;5.9
1971;5.3
1970;4.7
1969;4.0
1968;3.6
1967;3.2
1966;2.9
1965;2.6
